IntervalEnding,Coast,East,FarWest,North,NorthCentral,SouthCentral,Southern,West,SystemTotal,Model,InUseFlag,DSTFlag
2021-08-11 11:50:00,18835.599609375,2474.15991210937,4384.85009765625,1698.68994140625,19862.5,9581.509765625,4916.52978515625,1672.7199707031302,63426.5546875,E,Y,N
2021-08-11 11:55:00,18918.900390625,2487.18994140625,4390.10009765625,1703.68005371094,19978.19921875,9635.7900390625,4944.41015625,1680.06005859375,63738.328125,E,Y,N
2021-08-11 11:55:00,18921.599609375,2485.57006835937,4357.0498046875,1707.2099609375,19933.599609375,9750.01953125,4931.990234375,1649.43994140625,63736.48046875,E,Y,N
2021-08-11 12:00:00,18998.19921875,2499.27001953125,4395.25,1706.91003417969,20090.900390625,9686.599609375,4969.47021484375,1687.11999511719,64033.72265625,E,Y,N
2021-08-11 12:00:00,18999.80078125,2497.25,4362.18017578125,1710.5400390625,20045.099609375,9801.3603515625,4956.97021484375,1656.41003417969,64029.60546875,E,Y,N
2021-08-11 12:05:00,19074.80078125,2509.919921875,4366.4599609375,1715.64001464844,20151.599609375,9851.400390625,4979.1201171875,1663.83996582031,64312.78125,E,Y,N
2021-08-11 12:05:00,19029.599609375,2562.92993164063,4331.0498046875,1724.75,20008.0,9882.8798828125,4964.77001953125,1702.61999511719,64206.59765625,E,Y,N
2021-08-11 12:10:00,19147.900390625,2521.89990234375,4370.0400390625,1723.93005371094,20257.19921875,9902.9697265625,5002.580078125,1672.6999511718802,64599.21484375,E,Y,N
2021-08-11 12:10:00,19099.80078125,2575.53002929688,4335.2900390625,1731.17004394531,20110.0,9938.509765625,4986.919921875,1710.5400390625,64487.7578125,E,Y,N
2021-08-11 12:15:00,19221.80078125,2531.830078125,4373.509765625,1733.22998046875,20366.599609375,9954.240234375,5029.16015625,1681.52001953125,64891.890625,E,Y,N
2021-08-11 12:15:00,19170.400390625,2585.10009765625,4338.33984375,1740.7199707031198,20220.099609375,9989.599609375,5013.47021484375,1719.2900390625,64777.015625,E,Y,N
2021-08-11 12:20:00,19242.099609375,2594.90991210938,4341.5400390625,1749.7600097656198,20330.400390625,10039.5,5040.669921875,1727.10998535156,65065.9921875,E,Y,N
2021-08-11 12:20:00,19296.69921875,2541.80004882813,4377.009765625,1742.2800292968802,20476.80078125,10003.400390625,5056.580078125,1689.43994140625,65184.01171875,E,Y,N
2021-08-11 12:25:00,19370.900390625,2551.26000976563,4381.81982421875,1749.90002441406,20581.099609375,10053.2001953125,5082.330078125,1696.9599609375,65467.46875,E,Y,N
2021-08-11 12:25:00,19313.30078125,2604.11010742188,4346.080078125,1757.38000488281,20434.599609375,10090.0,5066.2099609375,1734.4699707031198,65346.1484375,E,Y,N
2021-08-11 12:30:00,19443.80078125,2561.68994140625,4388.41015625,1756.65002441406,20678.69921875,10102.7998046875,5106.02001953125,1704.9499511718802,65743.0234375,E,Y,N
2021-08-11 12:30:00,19383.30078125,2614.15991210938,4352.39990234375,1764.13000488281,20532.19921875,10139.7001953125,5089.68994140625,1742.32995605469,65617.9140625,E,Y,N
2021-08-11 12:35:00,19453.5,2626.67993164062,4360.0,1770.2900390625,20632.599609375,10186.0,5111.52001953125,1749.7199707031198,65890.3125,E,Y,N
2021-08-11 12:35:00,19516.69921875,2574.580078125,4396.31005859375,1762.81005859375,20779.099609375,10149.2998046875,5128.06005859375,1712.42004394531,66019.28125,E,Y,N
