INTERVAL_ENDING,LZ_SOUTH_HOUSTON,LZ_WEST,LZ_NORTH
8/11/2021 7:00,2160.03,13396.9,1022.98
8/11/2021 7:05,2230.74,13262.82,1005.12
8/11/2021 7:10,2245.68,13156.59,978.58
8/11/2021 7:15,2251.03,13132,965.83
8/11/2021 7:20,2207.44,13137.29,953.72
8/11/2021 7:25,2137.08,13104.31,948.14
8/11/2021 7:30,2080.9,13061.92,945.75
8/11/2021 7:35,2063.53,12933.82,925.98
8/11/2021 7:40,2042.19,12859.7,906.08
8/11/2021 7:45,2008.13,12701.26,887.15
8/11/2021 7:50,1963.61,12414.36,874.72
8/11/2021 7:55,1928.18,12265.14,868.87
8/11/2021 8:00,1881.2,12138.97,859.79
8/11/2021 8:05,1829.1,11999.59,853.15
8/11/2021 8:10,1770,11874.17,845.31
8/11/2021 8:15,1663.63,11733.41,840
8/11/2021 8:20,1623.08,11628.93,839.2
8/11/2021 8:25,1577.93,11583.41,848.12
8/11/2021 8:30,1520.36,11606.02,864.47
8/11/2021 8:35,1493.81,11609.28,869.31
8/11/2021 8:40,1455.24,11634.93,865.64
8/11/2021 8:45,1474.84,11606.37,873.92
8/11/2021 8:50,1474.52,11568.8,871.4
8/11/2021 8:55,1556.68,11654.02,876.98
8/11/2021 9:00,1602.54,11741.11,888.9
8/11/2021 9:05,1687.37,11956.6,897.22
8/11/2021 9:10,1781.68,12051.84,912.09
8/11/2021 9:15,1875.87,12011.37,899.85
8/11/2021 9:20,1966.27,11980.54,907.86
8/11/2021 9:25,2078.82,12087.75,932.72
8/11/2021 9:30,2245.45,12290.76,955.42
8/11/2021 9:35,2441.06,12441.32,973.2
8/11/2021 9:40,2448.61,12408.67,922.4
8/11/2021 9:45,2491.34,12444.68,867.03
8/11/2021 9:50,2491.34,12444.68,867.03
8/11/2021 9:55,2592.97,12293.17,910.52
8/11/2021 10:00,2593.46,12075.52,953.5
8/11/2021 10:05,2614.97,11903.19,985.04
8/11/2021 10:10,2613.67,11710.36,977.36
8/11/2021 10:15,2572.75,11640.96,972.18
8/11/2021 10:20,2603.19,11852.85,964.54
8/11/2021 10:25,2598.08,11805.92,961.2
8/11/2021 10:30,2578.15,11640.37,971.49
8/11/2021 10:35,2574.64,11602,988.17
8/11/2021 10:40,2569.44,11457.59,978.7
8/11/2021 10:45,2552.76,11299.95,981.58
8/11/2021 10:50,2544.42,11286.66,1007.42
8/11/2021 10:55,2545.09,11153.88,1022.36
8/11/2021 11:00,2544.56,10943.87,1017.22
8/11/2021 11:05,2543.77,10764.45,1034.11
8/11/2021 11:10,2547.84,10632.39,1040.69
8/11/2021 11:15,2545.2,10624.62,1031.97
8/11/2021 11:20,2534.5,10534.78,1010.4
8/11/2021 11:25,2497.19,10386.57,1020.29
8/11/2021 11:30,2423.69,10301.48,1035.97
8/11/2021 11:35,2423.39,10213.59,1009.88
8/11/2021 11:40,2422.65,10139.72,1021.72
8/11/2021 11:45,2435.89,10054.86,1005.92
8/11/2021 11:50,2382.52,9877.29,990.11
8/11/2021 11:55,2362.58,9889.46,993.81
8/11/2021 12:00,2327.1,9842.42,978.87
8/11/2021 12:05,2333.01,9845.86,980.79
8/11/2021 12:10,2329.65,9869.29,972.9
8/11/2021 12:15,2311.89,9857.63,974.44
8/11/2021 12:20,2331.93,9836.71,944.3
8/11/2021 12:25,2335.09,9882.89,944.38
8/11/2021 12:30,2331.86,9816.6,928.26
8/11/2021 12:35,2345.14,9774.93,944.98
8/11/2021 12:40,2362.02,9707.37,949.82
8/11/2021 12:45,2386.39,9790.66,946.39
8/11/2021 12:50,2385.49,9833.65,949.18
8/11/2021 12:55,2349.37,9750.48,946.6
8/11/2021 13:00,2353.19,9670.46,938.86
8/11/2021 13:05,2359.62,9707.15,929.73
8/11/2021 13:10,2369.84,9765.49,922.29
8/11/2021 13:15,2403.46,9626.74,885.27
8/11/2021 13:20,2415.69,9468.51,830.36
8/11/2021 13:25,2429.51,9401.67,822.27
8/11/2021 13:30,2384.85,9287.83,817.13
8/11/2021 13:35,2451.46,9354.17,887.71
8/11/2021 13:40,2534.61,9548.53,889.61
8/11/2021 13:45,2618.65,9648.21,893.41
8/11/2021 13:50,2629.46,9688.22,882.75
8/11/2021 13:55,2682.86,9741.6,862.35
8/11/2021 14:00,2761.81,9698.85,828.72
8/11/2021 14:05,2899.01,9797.15,831.64
8/11/2021 14:10,3034.34,9794.57,852.15
8/11/2021 14:15,3142.97,9936.67,841.07
8/11/2021 14:20,3221.23,9970.61,849.35
8/11/2021 14:25,3243.75,10025.89,840.21
8/11/2021 14:30,3233.49,10099.32,831.4
8/11/2021 14:35,3295.73,10194.58,852.94
8/11/2021 14:40,3287.77,10311.66,831.79
8/11/2021 14:45,3304.67,10278.61,821.87
8/11/2021 14:50,3336.35,10382.31,840.13
8/11/2021 14:55,3353.55,10534.25,832.8
8/11/2021 15:00,3326.17,10676.82,842.96
8/11/2021 15:05,3263,10612.78,834.81
8/11/2021 15:10,3272.7,10517.86,858.21
8/11/2021 15:15,3267.86,10525.19,858.08
8/11/2021 15:20,3262.95,10621.52,847.79
8/11/2021 15:25,3292.87,10574.56,849.22
8/11/2021 15:30,3341.35,10430.63,867.87
8/11/2021 15:35,3317.8,10428.42,863.93
8/11/2021 15:40,3380.26,10493.77,868.5
8/11/2021 15:45,3469.43,10633.63,844.92
8/11/2021 15:50,3442.27,10601.58,894.4
8/11/2021 15:55,3508.52,10668.45,878.21
8/11/2021 16:00,3480.65,10690.61,883.52
8/11/2021 16:05,3544.83,10689.03,915.07
8/11/2021 16:10,3565.64,10694.35,906.43
8/11/2021 16:15,3649.57,10685.67,885.93
8/11/2021 16:20,3765.28,10768.16,884.09
8/11/2021 16:25,3796.46,10741.05,885.76
8/11/2021 16:30,3812.59,10828.4,873.65
8/11/2021 16:35,3884.86,10868.43,869.06
8/11/2021 16:40,3906.73,10816.87,851.02
8/11/2021 16:45,3905.34,10740.98,818.49
8/11/2021 16:50,3938.36,10609.74,797.59
8/11/2021 16:55,3974.48,10656.86,821.22
8/11/2021 17:00,3961.82,10633.1,843.47
8/11/2021 17:05,4070.07,10613.42,845.91
8/11/2021 17:10,4034.04,10661.06,844.24
8/11/2021 17:15,4063.22,10616.01,845.76
8/11/2021 17:20,4089.68,10510.98,865.41
8/11/2021 17:25,4155.45,10462.62,872.79
8/11/2021 17:30,4212.88,10404.97,889.88
8/11/2021 17:35,4173.25,10419.61,901.34
8/11/2021 17:40,4180.36,10465.23,885.97
8/11/2021 17:45,4199.75,10436.3,872.1
8/11/2021 17:50,4290.48,10424.54,903.32
8/11/2021 17:55,4320.43,10453.67,931.61
8/11/2021 18:00,4323.34,10418.18,889.33
8/11/2021 18:05,4308.17,10296.18,887.93
8/11/2021 18:10,4364.88,10333.21,890.24
8/11/2021 18:15,4352.69,10250.29,864.95
8/11/2021 18:20,4338.01,10246.38,886.37
8/11/2021 18:25,4319.76,10201.18,888.36
8/11/2021 18:30,4335.35,10071.78,898.96
8/11/2021 18:35,4332.39,9983.66,899.28
8/11/2021 18:40,4289.36,9955.98,920.39
8/11/2021 18:45,4296.95,9912.03,924.69
8/11/2021 18:50,4302.46,9887.61,928.45
8/11/2021 18:55,4336.03,9837.67,933.2
8/11/2021 19:00,4310.07,9825.26,929.66
8/11/2021 19:05,4299.37,9854.27,917.19
8/11/2021 19:10,4362.58,9781.17,929.94
8/11/2021 19:15,4398.57,9746.95,926.31
8/11/2021 19:20,4450.69,9701.39,893.87
8/11/2021 19:25,4441.43,9704.63,886.51
8/11/2021 19:30,4359.1,9629.92,856.85
8/11/2021 19:35,4328.03,9602.73,842.11
8/11/2021 19:40,4490.81,9568.06,834.84
8/11/2021 19:45,4463.79,9625.92,825.58
8/11/2021 19:50,4391.13,9568.65,836.54
8/11/2021 19:55,4411.11,9560.08,836.49
8/11/2021 20:00,4367.88,9547.83,836.08
8/11/2021 20:05,4307.29,9528.24,847.09
8/11/2021 20:10,4285.4,9491.16,863.89
8/11/2021 20:15,4322.62,9537.08,897.26
8/11/2021 20:20,4318.06,9526.14,915.83
8/11/2021 20:25,4343.13,9526.49,929.59
8/11/2021 20:30,4388.72,9544.23,942.74
8/11/2021 20:35,4383.1,9568.4,966.76
8/11/2021 20:40,4407.31,9635.88,979.9
8/11/2021 20:45,4392.55,9696.43,999.44
8/11/2021 20:50,4404.4,9787.86,1019.15
8/11/2021 20:55,4434.6,9924.8,1031.34
8/11/2021 21:00,4479.25,10121.39,1059.55
8/11/2021 21:05,4490.65,10308.08,1078.84
8/11/2021 21:10,4510.19,10517.32,1097.5
8/11/2021 21:15,4520.86,10708.42,1123.82
8/11/2021 21:20,4499.86,10858.26,1151.16
8/11/2021 21:25,4475.99,11091.34,1168.34
8/11/2021 21:30,4455.71,11284.65,1166.88
8/11/2021 21:35,4432.22,11585.16,1165.03
8/11/2021 21:40,4444.39,11943.52,1168.79
8/11/2021 21:45,4457.43,12197.87,1170.13
8/11/2021 21:50,4415.69,12385.58,1175.78
8/11/2021 21:55,4384.09,12570.11,1185.25
8/11/2021 22:00,4342.24,12802.84,1196.69
8/11/2021 22:05,4267.04,12892.02,1207.97
8/11/2021 22:10,4232.86,13213.5,1221.87
8/11/2021 22:15,4186.94,13424.33,1216.67
8/11/2021 22:20,4158.13,13568.27,1215.16
8/11/2021 22:25,4131.33,13717.18,1202.61
8/11/2021 22:30,4141.59,13892.17,1200.72
8/11/2021 22:35,4122.85,13994.94,1200.3
8/11/2021 22:40,4086.3,14141.25,1201.86
8/11/2021 22:45,4023.89,14231.21,1201.43
8/11/2021 22:50,3977.94,14398.61,1216.37
8/11/2021 22:55,3925.11,14581.68,1228.97
8/11/2021 23:00,3881.19,14677.89,1219.12
8/11/2021 23:05,3888.93,14761.11,1204.46
8/11/2021 23:10,3905.43,14800.4,1239.94
8/11/2021 23:15,3905.05,14822.46,1244.56
8/11/2021 23:20,3905.26,14852.63,1246.56
8/11/2021 23:25,3862.65,14892.9,1233.7
8/11/2021 23:30,3817.04,14978.17,1228.12
8/11/2021 23:35,3794.87,14990.43,1221.71
8/11/2021 23:40,3736.33,14936.35,1209.58
8/11/2021 23:45,3689.46,15026.83,1204.84
8/11/2021 23:50,3644.01,15167.49,1198.32
8/11/2021 23:55,3597.53,15181.41,1198.91
8/12/2021 0:00,3532.26,15173.97,1180.81
